SCAF4	SFPQ	TIA1	THOC1	GPATCH1	LUC7L	UPF3A	U2AF1	SON	HNRNPA2B1	PTBP3	QKI	CCNT2
TCGA.14.4157	5.9465	9.8193	9.2653	7.9699	7.0375	8.9407	8.5532	10.2583	9.5945	11.8869	3.9474	9.448	6.6534
TCGA.15.1444	5.1846	8.5057	7.8922	7.8828	6.0894	7.1398	7.0623	9.6031	9.0466	11.7022	4.5754	10.2942	5.9341
TCGA.15.1447	5.2169	9.2615	8.5672	9.3199	7.3992	7.6934	6.5174	10.1509	9.4074	11.8681	4.1767	9.5023	5.7116
TCGA.15.1449	5.572	9.2248	8.6482	9.2407	7.14	7.9487	6.9816	10.3085	9.6105	11.822	4.3042	9.3905	5.9391
TCGA.16.0846	4.8798	9.6192	8.0472	8.4399	7.4244	7.3592	6.4574	9.9579	9.0841	10.9234	4.3561	9.6174	6.0849
TCGA.16.0848	4.9665	8.1108	7.815	8.2916	7.3698	7.4434	6.7885	9.6557	9.1999	11.3394	4.4829	9.8782	5.9043
TCGA.16.0849	4.616	9.3045	7.7742	8.8783	7.352	7.6332	5.6429	9.9759	9.2164	10.958	3.7077	9.5624	6.1347
TCGA.16.0850	4.6064	9.2261	8.4832	8.5037	7.051	8.1795	6.1531	9.75	8.8747	11.733	4.393	9.8343	6.1555
TCGA.16.1460	4.964	9.6441	8.0166	9.0392	5.8491	8.3391	7.3383	9.4636	8.831	11.5506	4.4087	9.1651	5.7419
TCGA.19.0957	5.1501	9.6913	8.9297	8.6049	6.587	7.8914	7.5191	9.6753	9.4882	11.7242	4.6588	9.8145	7.111
TCGA.19.0960	4.4838	9.1783	7.9402	8.0516	6.9717	7.4324	5.9797	9.0037	8.7282	10.8933	4.0826	10.5228	6.1147
TCGA.19.1387	4.7871	8.1354	7.1722	8.1693	6.2992	7.6796	6.7194	9.8063	9.0011	11.4443	4.0044	9.2672	5.5975
TCGA.19.1390	5.9679	8.8063	8.5993	8.3445	6.6484	8.2258	8.6547	10.3499	9.8319	12.2401	4.7151	10.3333	6.269
TCGA.19.1392	4.8251	8.631	8.7867	8.8518	6.6855	7.4809	6.7836	9.7933	9.0769	10.8873	4.3114	9.3932	6.6093
TCGA.19.1788	5.6653	9.7104	7.7842	8.4211	6.7417	8.1676	7.1277	9.6651	9.6913	11.5597	4.1557	9.5357	6.0036
TCGA.19.2624	6.1515	9.9538	9.3119	9.0369	7.5548	7.8808	7.6301	10.0668	9.4502	11.7236	4.3001	10.2234	6.8022
TCGA.19.2629	4.4431	8.0375	8.5028	7.79	7.0345	7.1544	6.9526	10.0271	9.396	11.4842	4.3792	9.582	6.3103
TCGA.19.5956	5.2473	8.7599	8.1937	8.4586	6.5659	7.3353	7.118	10.2404	9.3176	12.3286	4.9929	10.6344	5.889
TCGA.19.5960	4.7208	8.8294	8.7525	7.7813	6.3225	7.0092	8.3512	9.7383	9.0722	12.0707	4.2944	10.2508	6.4998
TCGA.26.1442	5.1696	9.1275	7.5163	8.6067	6.2515	7.526	7.9179	9.5007	8.8901	11.5354	4.4281	9.6178	6.1194
TCGA.26.5133	4.7985	8.4088	8.0442	7.3879	6.6356	7.7643	6.9861	10.0182	9.4612	11.616	4.4775	9.7132	6.1098
TCGA.26.5134	5.3962	9.4323	7.9668	8.6442	6.921	8.1433	7.0445	10.2446	9.7256	12.4145	4.5135	9.6879	6.009
TCGA.26.5135	4.7317	8.6469	8.088	8.416	6.9391	7.5142	6.69	9.7398	9.4784	12.0196	4.194	9.581	5.8758
TCGA.27.1830	5.076	9.2322	7.8677	7.9145	6.9029	7.5024	5.9099	9.6647	9.4963	11.7327	4.328	9.4766	5.9843
TCGA.27.1836	5.0962	8.2854	7.9331	8.1295	6.5797	7.7183	5.8211	10.2536	9.2177	11.246	4.5204	10.0389	5.7123
TCGA.27.2521	4.3711	8.2801	8.8166	8.5483	7.0684	7.4257	6.9289	9.3819	8.5844	11.0693	4.214	10.0903	6.2143
TCGA.28.1746	4.8821	9.3251	8.2879	8.7928	6.5924	8.1222	6.6977	9.8923	9.3607	12.2254	4.2451	9.5988	6.344
TCGA.28.1756	5.4268	9.8396	9.082	8.9407	6.6872	8.4485	7.9511	10.0762	9.5162	11.4345	4.4145	9.6763	6.627
TCGA.32.1973	4.657	8.6988	9.0919	8.4867	6.9524	8.6644	8.1029	9.3269	8.7218	11.5027	4.9974	9.4595	6.2604
TCGA.32.1976	5.1642	8.9909	8.8818	8.3797	6.7763	7.4468	7.5015	10.0975	9.7398	11.9022	4.5776	10.1511	6.6565
TCGA.32.2634	5.3276	8.4715	8.7654	8.0393	6.5088	7.2065	6.3827	10.2653	9.4205	11.5868	4.3944	9.765	6.0938
TCGA.32.4208	4.7231	8.31	7.9306	7.2699	5.7338	7.0602	6.8764	9.5809	8.7577	10.8186	4.4841	9.4775	5.621
TCGA.32.4210	4.652	8.5748	8.4688	8.1917	5.9462	7.6888	7.1646	9.5163	8.6223	11.5231	4.4077	9.4879	5.6032
TCGA.32.5222	4.906	8.1099	7.4005	8.4424	6.6651	7.6212	7.5129	9.9528	8.507	11.7599	4.7233	9.417	5.6949
TCGA.41.2571	5.0701	8.8789	8.3859	8.3443	6.763	7.4614	7.6526	9.9901	9.4019	11.3167	4.2599	9.2251	6.0786
TCGA.41.2573	4.402	8.3654	8.4344	8.4268	6.2902	7.1916	6.029	9.5211	8.8864	11.4917	4.0128	9.1356	5.942
TCGA.41.2575	5.1547	8.7681	9.1925	8.5515	6.0601	7.6674	7.0684	9.727	9.3861	10.4737	4.1182	9.3688	6.2698
TCGA.41.5651	4.8951	9.3237	8.2269	8.302	7.2326	7.9961	7.4722	9.9168	8.8598	12.0305	4.3676	10.7284	6.4254
TCGA.76.4925	4.7189	8.5757	8.7388	8.2939	6.7086	7.117	6.9119	9.3095	8.7304	11.8255	4.8426	10.0838	6.7198
TCGA.76.4932	4.9921	8.418	7.9327	7.0859	6.8526	7.605	7.2377	10.0194	9.5454	11.4772	4.4651	9.7766	6.2417
TCGA.76.4934	5.4162	9.6995	8.1665	8.6164	7.0012	8.1212	7.2123	10.3389	9.6158	12.395	4.2615	9.6744	6.2954
TCGA.76.4935	4.5589	8.5872	7.9538	8.5607	7.0886	7.8189	6.6079	9.885	9.3584	11.8032	4.5059	9.4307	5.9025
TCGA.76.6191	5.1029	9.0433	8.1302	7.5734	6.4191	7.4417	6.8129	10.2662	9.1533	12.1234	4.6693	9.8298	6.1522
TCGA.76.6192	4.8862	8.4919	7.1939	7.8675	6.275	7.1403	6.6621	9.5718	8.8387	11.7685	4.414	9.9536	5.7396
TCGA.76.6285	4.6084	8.8119	7.8206	7.4834	6.4339	7.077	6.2947	10.0495	9.0309	11.8829	4.5455	10.0791	6.0971
