ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
4171	ENSG00000173611.17	0.714	0.769	0.555	0.454	1	1
10006	ENSG00000219626.8	0.436	0.581	0.51	0.182	0.264	0.292
8362	ENSG00000143207.19	0.581	0.524	0.703	0.904	0.773	0.767
8901	ENSG00000115159.15	0.031	0.17	0.113	0.206	0.245	0.209
4552	ENSG00000185043.10	0.343	0.132	0.206	0.117	0.085	0.144
8361	ENSG00000143207.19	0.41	0.308	0.514	0.894	0.711	0.646
12174	ENSG00000247828.7	0.84	0.629	0.672	0.474	0.458	0.537
5480	ENSG00000179818.13	0.832	0.941	0.878	0.633	0.797	0.679
4443	ENSG00000150477.14	0.81	0.889	0.544	1	0.94	0.836
5773	ENSG00000198586.13	0.742	0.788	0.769	0.626	0.689	0.669
6160	ENSG00000087053.18	0.442	0.563	0.244	0.739	1	0.673
9600	ENSG00000105559.11	0.775	1	1	0.421	0.603	0.563
1780	ENSG00000251022.6	0.313	0.341	0.313	0.405	0.45	0.467
4676	ENSG00000104671.7	0.802	0.87	0.746	0.564	0.714	0.476
3582	ENSG00000242588.5	0.364	0.488	0.359	0.226	0.123	0.11
1097	ENSG00000167733.13	0.621	0	0.254	0.865	0.938	0.694
9909	ENSG00000121897.14	0.033	0.018	0.028	0.179	0.095	0.14
5517	ENSG00000179818.13	0.418	0	0	0.489	0.177	0.489
5524	ENSG00000179818.13	0.418	0	0	0.489	0.177	0.489
10200	ENSG00000105793.15	0.241	0.202	0.241	0.293	0.448	0.401
11522	ENSG00000114062.18	0.297	0.391	0.279	0.116	0.142	0.246
9532	ENSG00000109686.17	0.298	0.324	0.439	0.596	0.458	0.573
1274	ENSG00000160299.16	0.376	0.213	0.382	0.479	0.618	0.654
5075	ENSG00000165304.7	0.512	0.551	0.505	0.423	0.422	0.306
8680	ENSG00000083097.14	0.305	0.127	0	0.168	0.523	0.277
9271	ENSG00000182389.19	0.884	0.686	0.644	0.295	0.556	0.134
6939	ENSG00000133466.13	0	0.318	0.189	0.483	0.483	0.483
9239	ENSG00000135317.12	0.604	0.645	0.646	0.421	0.47	0.567
3127	ENSG00000189376.11	0.645	0.52	0.621	0.329	0.483	0.359
1663	ENSG00000105483.17	0.528	0.567	0.474	0.73	0.638	0.596
8655	ENSG00000100209.9	0.569	0.41	0.286	0.121	0.219	0.226
9270	ENSG00000182389.19	0	0	0.081	0.725	0.144	0
5481	ENSG00000179818.13	0.815	0.934	0.87	0.628	0.781	0.66
4982	ENSG00000161526.14	0.467	0.539	0.466	0.664	0.649	0.56
1173	ENSG00000078177.13	1	0.812	0.866	0.509	0.618	0.771
12526	ENSG00000187630.15	0.619	0.48	0.432	0.301	0.333	0.237
13019	ENSG00000166323.12	0.285	0.23	0.285	0	0	0.23
7974	ENSG00000215908.10	0.217	0.252	0.27	0.609	0.454	0.397
8207	ENSG00000148337.20	0.318	0.342	0.273	0.173	0.204	0.145
11294	ENSG00000080823.22	0	0	0.032	0.102	0.141	0.114
3221	ENSG00000270580.5	0.522	0.637	0.686	0.193	0.433	0.258
6007	ENSG00000174306.21	0.299	0.242	0.372	0.615	0.68	0.842
9563	ENSG00000136933.16	0.432	0.408	0.441	0.256	0.341	0.378
9046	ENSG00000170919.15	1	1	0	0.494	0.548	0.636
3397	ENSG00000184465.15	0.542	0.744	0.695	0.969	0.752	0.934
10003	ENSG00000219626.8	0.481	0.544	0.544	0.213	0.308	0.236
9908	ENSG00000121897.14	0.026	0.027	0.015	0.18	0.083	0.11
7049	ENSG00000268043.7	0.389	0.321	0.4	0.71	0.687	0.443
3190	ENSG00000138658.15	0.224	0.213	0.327	0.148	0.132	0.159
3208	ENSG00000138658.15	0.371	0.399	0.501	0.245	0.259	0.238
9530	ENSG00000109686.17	0.253	0.27	0.251	0.358	0.447	0.378
10364	ENSG00000158483.15	0.523	0.815	0.846	1	1	0.877
11892	ENSG00000156162.16	0.4	0.415	0.46	0.521	0.531	0.584
5727	ENSG00000119636.15	0	0.417	0	0.264	0.534	0
12255	ENSG00000163975.11	0.614	0.666	0.638	1	1	0.723
3914	ENSG00000126456.15	0.767	0.593	0.695	0.523	0.574	0.52
323	ENSG00000138161.13	0	0	0.212	0.199	0.288	0.212
8962	ENSG00000058673.16	0.367	0.47	0.45	0.612	0.569	0.471
1969	ENSG00000177058.11	1	0.918	1	0.819	0.895	0.887
6321	ENSG00000078319.9	0.67	0.594	0.622	0.779	0.8	0.636
12524	ENSG00000187630.15	0.447	0.455	0.379	0.655	0.635	0.912
2621	ENSG00000205581.10	0.975	0.962	1	0.948	0.724	0.898
5853	ENSG00000169919.16	0.477	0.344	0.431	0.236	0.345	0.323
9269	ENSG00000182389.19	0	0	0.104	0.779	0.144	0
4182	ENSG00000196295.11	1	0.714	0.862	0.588	0.769	0.384
9574	ENSG00000184164.14	0.425	0.21	0.314	0.197	0.213	0.128
10011	ENSG00000219626.8	0	0	0	0.064	0.098	0.238
2735	ENSG00000172785.18	0.167	0.12	0.051	0	0	0.03
1696	ENSG00000100403.11	0.523	0.454	0.444	0.34	0.334	0.411
10544	ENSG00000110721.11	0.265	0.211	0.27	0.124	0.176	0.122
7868	ENSG00000271147.7	0.819	0.892	0.825	0.74	0.661	0.672
5026	ENSG00000166169.16	0.606	0.675	0.687	0.507	0.52	0.566
5825	ENSG00000206562.11	0.494	0.34	0.373	0.222	0.314	0.15
11875	ENSG00000185808.13	0.265	0.228	0.322	0.47	0.383	0.339
1113	ENSG00000137434.11	1	0.746	0.746	0.631	0.652	0.774
1582	ENSG00000109861.15	0.54	0.457	0.475	0.387	0.312	0.45
2938	ENSG00000147099.19	0.762	0.702	0.714	0.935	0.929	0.716
8577	ENSG00000006837.11	0.606	0.573	0.55	0.14	0.277	0.438
4700	ENSG00000068784.12	0.288	0.426	0.337	0.538	0.539	0.514
12514	ENSG00000145390.11	0.025	0.041	0.046	0.267	0.092	0.09
8743	ENSG00000137177.19	0.099	0	0.119	0.344	0.28	0.164
2009	ENSG00000175471.19	0.275	0.325	0.384	0.052	0.105	0.234
12497	ENSG00000165948.10	0.148	0.302	0.098	0.386	0.391	0.183
5737	ENSG00000164944.11	0.343	0.404	0.438	0.271	0.239	0.338
9417	ENSG00000099381.17	0.57	0.683	0.625	0.794	0.755	0.745
8578	ENSG00000006837.11	0.535	0.439	0.439	0.04	0.124	0.374
11293	ENSG00000080823.22	0.16	0.24	0.273	0.474	0.364	0.425
9602	ENSG00000176974.19	0.303	0.261	0.307	0.363	0.41	0.433
4732	ENSG00000160193.11	0.553	0.731	0.633	0.769	0.846	0.777
8190	ENSG00000175455.14	0.172	0.216	0.3	0.334	0.369	0.347
12488	ENSG00000151491.12	0.625	0.508	0.553	0.444	0.369	0.463
11210	ENSG00000148341.17	0.862	0.783	0.918	0.674	0.725	0.764
4854	ENSG00000143344.15	0.178	0.065	0.068	0.304	0.341	0.088
11095	ENSG00000188603.18	0.629	0.466	0.578	0.741	0.798	0.65
9061	ENSG00000170919.15	0	0	0	0.099	0.153	0.096
9278	ENSG00000116514.16	0.502	0.553	0.568	0.412	0.408	0.267
11833	ENSG00000110756.17	0.221	0.095	0.126	0.362	0.256	0.244
8198	ENSG00000123411.14	0.424	0.855	0	0	0	0.395
2123	ENSG00000166452.11	0.914	0.772	0.758	0.652	0.636	0.639
3177	ENSG00000157193.15	0.568	0.441	0.706	0.396	0.302	0.344
12301	ENSG00000031823.14	0.632	0.488	0.621	0.379	0.391	0.488
5025	ENSG00000166169.16	0.486	0.503	0.549	0.319	0.356	0.447
3602	ENSG00000186854.10	0.51	0.409	0.493	0.817	0.817	0.527
10082	ENSG00000101901.11	0	0.141	0.313	0	0.105	0
6804	ENSG00000213337.8	0.661	0.583	0.679	0.516	0.372	0.507
2590	ENSG00000176986.15	0.561	0.727	0.571	0.739	0.75	0.725
12760	ENSG00000248487.8	0.31	0.451	0.248	0.609	0.562	0.448
2612	ENSG00000205581.10	0.418	0.065	0.243	0.047	0.116	0.109
6181	ENSG00000041982.15	0.857	1	0	0.489	0.475	0.333
11443	ENSG00000050426.15	0.48	0.464	0.493	0.319	0.266	0.39
1114	ENSG00000137434.11	1	0.746	0.661	0.561	0.661	0.815
10496	ENSG00000198276.15	0.654	0.84	1	1	1	1
4909	ENSG00000106070.17	1	1	0.762	0.758	0.757	0.706
8020	ENSG00000178467.17	0.51	0.498	0.443	0.388	0.356	0.332
7541	ENSG00000122512.14	0.665	0.608	0.633	0.456	0.449	0.597
12713	ENSG00000204815.9	0.127	0.172	0.088	0.314	0.326	0.392
10107	ENSG00000173402.11	0.629	0.459	0.298	0.096	0.459	0
5519	ENSG00000179818.13	0.518	0.164	0	0.657	0.662	0.657
12195	ENSG00000132780.16	0.49	0.622	0.391	0.38	0.186	0.106
8955	ENSG00000058673.16	0.792	0.642	0.818	0.597	0.616	0.441
2827	ENSG00000181192.11	0.635	0.513	0.668	0.462	0.417	0.51
3234	ENSG00000156170.12	0.868	0.877	0.712	1	0.846	1
10638	ENSG00000072864.14	0	0	0	0	0	0.371
4388	ENSG00000138468.15	0.676	0.547	0.632	0.446	0.491	0.546
3937	ENSG00000163291.14	0.513	0.628	0.586	0.752	0.647	0.77
3348	ENSG00000007341.18	0.501	0.536	0.555	0.435	0.299	0.326
6638	ENSG00000111450.13	0.373	0.48	0.454	0.551	0.508	0.596
9230	ENSG00000273136.6	0.563	0.705	0.573	0	0	0.526
4380	ENSG00000131375.9	0.711	0.63	0.57	0.423	0.547	0.525
3139	ENSG00000240344.8	0.745	0.656	0.48	0.192	0.549	0.308
11979	ENSG00000233184.6	0.68	0.704	0.708	0.376	0.559	0.511
1312	ENSG00000121988.17	1	1	1	0.883	1	0.698
11698	ENSG00000180376.16	0.667	0.672	0.643	0.789	0.828	0.693
12609	ENSG00000153975.9	0.492	0.514	0.493	0.625	0.608	0.627
3328	ENSG00000134490.13	0.651	1	1	1	0.482	0.383
7368	ENSG00000131374.14	0.185	0.107	0.128	0.249	0.264	0.257
12086	ENSG00000152219.4	0.493	0.631	0.534	0.622	0.655	0.709
8019	ENSG00000178467.17	0.506	0.508	0.419	0.353	0.342	0.359
9201	ENSG00000104450.12	0.322	0.376	0.293	0.458	0	0
10063	ENSG00000169696.15	0.442	0.528	0.295	0.737	0.817	0.691
9333	ENSG00000110921.13	0.553	0.592	0.503	0.701	0.582	0.68
10086	ENSG00000082269.16	0.566	0.671	0.604	0.788	0.703	0.828
2602	ENSG00000112739.16	0.637	0.481	0.35	0.59	0.786	0.813
10452	ENSG00000071462.11	0.514	0.495	0.413	0.583	0.593	0.554
5447	ENSG00000179818.13	0.348	1	1	0.445	0.681	0.728
2137	ENSG00000168096.14	0.598	0.576	0.527	0.245	0.51	0.22
5446	ENSG00000179818.13	0.348	1	1	0.445	0.658	0.652
10005	ENSG00000219626.8	0.88	0.753	0.753	0.504	0.55	0.55
7688	ENSG00000111860.13	0.637	0.539	0.498	0.442	0.441	0.332
1346	ENSG00000122643.18	0.502	0.477	0.386	0.292	0.263	0.279
10385	ENSG00000107186.16	0.401	0.468	0.527	0.378	0.323	0.327
10495	ENSG00000174099.10	0.377	0.377	0.506	0.156	0.38	0
9141	ENSG00000130821.15	0.472	0.379	0.443	0.31	0.3	0.333
6006	ENSG00000157601.13	0	0	0.86	0.672	0.774	0.672
1486	ENSG00000152348.15	0.478	0.405	0.372	0.32	0.269	0.244
6177	ENSG00000041982.15	0.286	0	0.2	0.401	0.44	0.5
4979	ENSG00000186132.14	0.843	0.686	0.865	0.478	0.404	0.768
10746	ENSG00000149532.15	0.615	0.895	0.762	0.348	0.348	0.615
11978	ENSG00000233184.6	0.343	0.148	0.225	0.521	0.42	0.479
1064	ENSG00000182718.16	1	0.437	0.599	0.077	0.179	0.432
6934	ENSG00000168434.12	0.579	0.364	0.507	0.248	0.298	0.384
3233	ENSG00000156170.12	0.92	0.866	0.782	1	0.896	1
10901	ENSG00000223382.4	0	0	0	0.158	0.078	0.372
12466	ENSG00000124224.16	0.792	0.726	0.631	0.384	0.349	0.597
11295	ENSG00000080823.22	0	0	0.08	0.112	0.223	0.149
10958	ENSG00000206559.7	0.702	0.687	0.802	0.574	0.403	0.119
4289	ENSG00000198089.15	0.168	0.237	0.13	0.404	0.399	0.395
4735	ENSG00000160193.11	0.623	0.704	0.575	0.728	0.918	0.823
2802	ENSG00000137210.13	0.898	0.901	0.88	0.719	0.604	0.926
340	ENSG00000116171.17	0.294	0.249	0.256	0.07	0.184	0.176
5147	ENSG00000275895.6	0.182	0	0	0.333	0.6	0.25
10015	ENSG00000219626.8	0.65	0.65	0.788	0.419	0.222	0.317
12414	ENSG00000174628.16	0.237	0.318	0.199	0.511	0.452	0.438
7513	ENSG00000136895.18	0.06	0.079	0.051	0.292	0.186	0.195
12960	ENSG00000198814.12	0.886	0.95	0.731	0.534	0.301	0.711
7038	ENSG00000072518.20	0.619	0.869	0.671	0.877	0.805	0.893
4818	ENSG00000119778.14	0.609	0.483	0	0	0	0.318
3277	ENSG00000223745.7	0	0.579	0.579	0	0	0
1516	ENSG00000100288.19	0.611	0.492	0.488	0.385	0.346	0.465
1065	ENSG00000234741.7	0.29	0.333	0.356	0.155	0.184	0.19
1066	ENSG00000234741.7	0.563	0.633	0.657	0.149	0.185	0.21
1369	ENSG00000206503.12	1	1	1	0.064	0.121	0.081
1747	ENSG00000185813.10	0.283	0.181	0.246	0.056	0.037	0.031
2003	ENSG00000117616.17	0.749	0.8	0.866	0.966	0.978	0.974
2542	ENSG00000173145.11	0.061	0.056	0.067	0.315	0.188	0.227
2615	ENSG00000101639.18	0.023	0.012	0.009	0.194	0.352	0.36
2763	ENSG00000166508.17	0.059	0.061	0.066	0.158	0.189	0.163
2797	ENSG00000104915.14	0.236	0.256	0.179	0.043	0.046	0.071
2932	ENSG00000164039.14	0.036	0.082	0.122	0.243	0.352	0.403
3559	ENSG00000087088.19	0.407	0.372	0.397	0.14	0.137	0.2
373	ENSG00000089053.12	0.052	0.04	0.062	0.163	0.188	0.234
374	ENSG00000089053.12	0.057	0.026	0.039	0.135	0.239	0.181
3987	ENSG00000267454.5	1	1	1	0.081	0.294	0.197
4081	ENSG00000111674.8	0.538	0.428	0.352	0.052	0.118	0.088
4385	ENSG00000125124.11	0.058	0.073	0.123	0.26	0.318	0.249
4412	ENSG00000117335.19	0.26	0.337	0.532	0.855	0.897	0.808
4669	ENSG00000137942.16	0.551	0.553	0.597	0.076	0.09	0.125
5894	ENSG00000265681.7	0.577	0.623	0.605	0.941	0.909	0.928
752	ENSG00000154743.17	0.059	0.04	0.08	0.21	0.24	0.235
3978	ENSG00000103051.18	0.06	0.075	0.081	0.173	0.304	0.315
5611	ENSG00000167965.17	0.228	0.228	0.182	0.937	1	1
5589	ENSG00000112531.16	0.827	0.84	1	0.248	0.268	0.344
5086	ENSG00000015479.18	0.427	0.554	0.653	0.931	0.952	0.915
4341	ENSG00000113240.12	0.156	0.308	0.183	0.619	0.781	0.691
2108	ENSG00000064607.16	0.275	0.396	0.389	0.734	0.645	0.646
267	ENSG00000102119.10	0.247	0.197	0.192	0.078	0.119	0.087
5049	ENSG00000197603.13	0.183	0.102	0.074	0.006	0.019	0.005
2196	ENSG00000133112.16	1	1	1	0.135	0.342	0.118
1876	ENSG00000089280.18	0.769	0.788	0.896	0.944	0.982	0.949
1268	ENSG00000144559.10	0	0.02	0.007	0.077	0.145	0.128
5781	ENSG00000185189.17	0.357	0.153	0.284	0.036	0.021	0.079
1349	ENSG00000140400.16	0.056	0.043	0.045	0.474	0.434	0.247
1191	ENSG00000205581.10	0.374	0.554	0.609	0.807	0.878	0.839
4516	ENSG00000140416.19	0.065	0.044	0.053	0.116	0.217	0.25
4091	ENSG00000099622.13	0.733	0.851	0.898	0.978	0.977	0.954
5629	ENSG00000013441.15	0.325	0.376	0.382	0.595	0.775	0.854
1417	ENSG00000076108.11	0.808	0.797	0.843	0.968	0.99	0.942
134	ENSG00000177954.11	0.738	0.879	0.767	1	0.945	0.936
4017	ENSG00000075415.12	0.078	0.175	0.13	0.2	0.316	0.238
1072	ENSG00000234741.7	0.535	0.627	0.656	0.362	0.388	0.449
1648	ENSG00000171109.18	0.006	0.019	0.034	0.212	0.206	0.053
1328	ENSG00000213983.11	0.745	0.629	0.704	0.053	0.22	0.075
5061	ENSG00000108465.14	0.796	0.743	0.802	0.535	0.622	0.587
3440	ENSG00000204356.13	0.094	0.097	0.099	0.216	0.327	0.179
4138	ENSG00000198198.15	0.9	0.645	0.822	0.309	0.315	0.35
2594	ENSG00000213397.10	0.029	0.053	0.054	0.209	0.232	0.166
939	ENSG00000188313.12	0.102	0.11	0.135	0.445	0.441	0.298
3791	ENSG00000172732.11	0.375	0.348	0.355	0.058	0.145	0.149
1358	ENSG00000161653.10	0.296	0.558	0.396	1	1	1
2861	ENSG00000076382.16	0.066	0.074	0.061	0.192	0.159	0.154
297	ENSG00000145495.15	0.18	0.225	0.354	0.468	0.577	0.472
2120	ENSG00000132424.14	0.9	0.893	0.829	0.371	0.58	0.687
2277	ENSG00000140983.13	0.208	0.164	0.082	0.02	0	0.032
1069	ENSG00000234741.7	0.528	0.564	0.624	0.346	0.429	0.427
3566	ENSG00000179532.12	0.247	0.247	0.47	1	1	0.775
3986	ENSG00000058673.16	0.732	0.7	0.879	1	1	1
1958	ENSG00000182196.13	0.696	0.473	0.618	0.175	0.192	0.218
42	ENSG00000182796.13	0.919	1	1	0.56	0.779	0.591
2438	ENSG00000137343.17	1	1	1	0.582	0.738	0.866
5162	ENSG00000102316.16	0.449	0.436	0.369	0.256	0.227	0.258
5883	ENSG00000103876.11	0.564	0.514	0.291	1	1	1
3790	ENSG00000172732.11	0.289	0.23	0.256	0.073	0.025	0.078
3726	ENSG00000177728.16	0.709	0.711	0.621	0.267	0.333	0.377
4137	ENSG00000198198.15	0.491	0.592	0.53	0.139	0	0
1196	ENSG00000134909.18	0.081	0.035	0.036	0.189	0.331	0.24
5613	ENSG00000167965.17	0.053	0.028	0.064	0.294	0.129	0.316
5246	ENSG00000026950.16	0	0.02	0.012	0.095	0.071	0.315
299	ENSG00000130714.15	0.827	0.627	0.668	0.309	0.358	0.364
157	ENSG00000137822.12	0.068	0.086	0.065	0.366	0.521	0.165
84	ENSG00000099783.11	0.395	0.478	0.43	0.621	0.563	0.602
1011	ENSG00000102901.12	0.413	0.729	0.574	1	1	1
1326	ENSG00000213983.11	0.855	0.752	1	0.356	0.403	0.293
4339	ENSG00000113240.12	0.07	0.141	0.319	0.424	0.624	0.491
2708	ENSG00000123737.12	0.159	0.175	0.213	0.328	0.303	0.289
425	ENSG00000143033.17	0.66	0.674	0.769	0.927	0.968	1
4729	ENSG00000154222.14	0.262	0.216	0.284	0.085	0.017	0.054
2374	ENSG00000179364.13	0.038	0.113	0.037	0.256	0.217	0.266
3181	ENSG00000204758.7	0.533	0.436	0.578	1	1	1
3672	ENSG00000060138.12	0.088	0.168	0.15	0.209	0.32	0.212
3996	ENSG00000129351.17	0.235	0.219	0.194	0.304	0.353	0.419
2880	ENSG00000004534.14	0.255	0.18	0.206	0.375	0.605	0.703
3140	ENSG00000149600.11	0.283	0.155	0.138	0.072	0.096	0.028
909	ENSG00000167110.17	0.442	0.449	0.203	0.067	0.064	0.024
2589	ENSG00000198467.13	0.067	0.068	0.083	0.595	0.521	1
2556	ENSG00000165233.17	0.501	0.903	0.612	1	1	0.918
1330	ENSG00000213983.11	0.915	0.855	0.871	0.565	0.43	0.409
1948	ENSG00000282827.2	1	1	1	0.517	0.567	0.466
1123	ENSG00000162298.18	0.199	0.192	0.164	0.059	0.107	0.062
5572	ENSG00000142102.15	0.854	0.732	0.793	0.32	0.443	0.474
2722	ENSG00000120314.18	0.157	0.134	0.089	0.332	0.279	0.333
3581	ENSG00000103507.13	0.381	0.733	0.478	1	1	1
5588	ENSG00000112531.16	0.857	0.915	1	0.399	0.628	0.536
4354	ENSG00000109736.14	1	1	1	0.59	0.635	0.792
5300	ENSG00000140365.15	0.658	0.626	0.516	1	1	0.897
3241	ENSG00000108591.9	0.033	0.074	0.069	0.234	0.147	0.186
2459	ENSG00000099624.7	0.585	0.575	0.554	0.202	0.17	0.359
362	ENSG00000144224.16	0.105	0.13	0.228	0.289	0.284	0.394
1858	ENSG00000136908.17	0.41	0.457	0.341	0.155	0.212	0.292
1863	ENSG00000178252.17	0.572	0.541	0.513	0.227	0.37	0.295
4030	ENSG00000235954.6	1	1	1	0.478	0.831	0.556
3989	ENSG00000163703.17	0.269	0.242	0.236	0.059	0.107	0.185
2166	ENSG00000268895.5	0.353	0.47	0.323	1	1	0.835
3951	ENSG00000087303.17	1	1	1	0.116	0.144	0.087
784	ENSG00000197070.13	0.293	0.33	0.267	0.665	0.576	0.547
2925	ENSG00000177106.14	0.108	1	0.18	1	1	1
1219	ENSG00000161202.17	0.293	0.208	0.259	0.087	0.114	0.139
3607	ENSG00000241370.5	0.061	0.145	0.086	0.158	0.27	0.219
628	ENSG00000179335.18	0.063	0.086	0.097	0.165	0.352	0.178
2009	ENSG00000175832.12	0.058	0.03	0.052	0.21	0.192	0.147
2821	ENSG00000148297.15	1	1	1	0.876	0.825	0.982
2354	ENSG00000160298.17	1	1	1	0.752	0.763	0.689
2296	ENSG00000172638.12	0.211	0.077	0.244	0.025	0.024	0.077
37	ENSG00000156976.16	0.414	0.364	0.404	0.203	0.189	0.331
1794	ENSG00000123154.11	0.298	0.12	0.291	0.75	0.686	1
1269	ENSG00000227057.9	0.053	0.12	0.13	0.227	0.258	0.273
5052	ENSG00000108465.14	0.261	0.313	0.226	0.129	0.193	0.156
3746	ENSG00000185163.9	0.073	0	0.066	0.261	0.664	0.684
1453	ENSG00000120699.12	0.134	0.137	0.128	0.192	0.317	0.209
639	ENSG00000115556.13	1	1	1	0.688	0.578	1
2808	ENSG00000137145.20	0.058	0.053	0.094	0.27	0.39	0.212
4437	ENSG00000001631.15	0.116	0.117	0.11	0.3	0.313	0.15
3515	ENSG00000205250.8	0.133	0.14	0.182	0.275	0.284	0.303
1878	ENSG00000177042.14	0.419	0.324	0.521	0.149	0.104	0.287
409	ENSG00000099840.13	1	1	1	0	1	0
4550	ENSG00000132604.10	0.329	0.495	0.38	1	1	0.774
4755	ENSG00000143549.19	1	1	1	0.914	0.855	0.812
4450	ENSG00000071859.14	0.402	0.394	0.362	0.159	0.288	0.217
1926	ENSG00000128596.16	0.124	0.145	0.113	0.775	0.468	0.505
5244	ENSG00000156313.12	0.042	0.038	0.051	0.195	0.43	0.143
4323	ENSG00000224078.13	0.135	0.199	0.155	0.383	0.372	0.345
3364	ENSG00000147162.13	0.902	0.892	0.887	0.792	0.803	0.775
3087	ENSG00000065717.14	0.632	0.23	0.23	1	0.729	1
2387	ENSG00000110025.12	0.053	0.124	0.038	0.164	0.256	0.342
2491	ENSG00000204536.13	0.138	0.214	0.138	0.489	0.505	0.66
2555	ENSG00000174373.16	1	1	1	0.508	0.859	0.852
4739	ENSG00000176058.11	0.195	0.179	0.131	0	0	0.035
4398	ENSG00000158828.7	0.085	0.254	0.12	0.324	0.361	0.464
2330	ENSG00000127980.15	0.355	0.353	0.29	0.539	0.62	0.469
3659	ENSG00000115875.18	0.17	0.207	0.183	0.233	0.332	0.408
4413	ENSG00000003509.15	0.304	0.389	0.419	0.809	0.601	0.656
2946	ENSG00000173818.16	0.507	1	0.694	1	1	1
3422	ENSG00000265241.6	0.669	0.867	0.76	1	1	0.894
3230	ENSG00000136003.15	0.512	0.706	0.652	0.975	0.854	0.806
1798	ENSG00000080947.14	0.059	1	0.19	1	1	1
5110	ENSG00000110844.13	0.462	0.593	0.751	1	0.872	1
2995	ENSG00000139620.12	0.113	0.027	0.013	0.179	0.204	0.372
1181	ENSG00000112739.16	0.771	0.848	0.797	0.938	0.935	0.874
4497	ENSG00000184436.11	0.102	0.191	0.085	0.358	0.35	0.181
1905	ENSG00000162191.13	0.289	0.215	0.134	0.064	0.125	0.106
4622	ENSG00000239779.6	0.911	0.804	0.873	0.702	0.544	0.538
981	ENSG00000168256.17	0.763	0.726	0.829	0.929	0.965	0.912
2220	ENSG00000170889.13	0.26	0.436	0.39	0.609	0.597	0.838
4089	ENSG00000099622.13	0.414	0.267	0.237	0.076	0.179	0.227
4306	ENSG00000196628.15	1	1	1	0.281	0.262	0.197
3789	ENSG00000172732.11	0.619	0.601	0.48	0.189	0.368	0.267
629	ENSG00000137221.14	0.507	0.532	0.343	0.196	0.237	0.289
1038	ENSG00000197363.9	1	1	1	0.239	0.135	1
3123	ENSG00000108852.14	0	0	0	0.286	0.286	0.118
2933	ENSG00000164039.14	1	1	1	0.71	0.795	0.827
5905	ENSG00000187531.13	0.225	0.206	0.257	0.639	0.509	0.705
3416	ENSG00000163161.12	0.341	0.245	0.316	0.138	0.21	0.127
5488	ENSG00000183569.17	1	1	1	0.587	0.663	0.686
68	ENSG00000169247.11	0.101	0.065	0	0.612	0.403	0.311
1224	ENSG00000060971.17	0.355	0.332	0.402	0.153	0.253	0.214
2895	ENSG00000214087.8	1	0.942	1	0.81	0.848	0.784
1010	ENSG00000102901.12	0.905	0.915	0.841	0.555	0.776	0.744
3898	ENSG00000110497.14	0.057	0	0.119	0.498	0.59	0.228
2329	ENSG00000127980.15	0.168	0.251	0.133	0.44	0.348	0.358
3870	ENSG00000106009.15	0.135	0.133	0.185	0.544	0.529	0.23
148	ENSG00000161265.14	0.961	0.835	0.73	0.315	0.334	0.685
453	ENSG00000182944.17	0.396	0.338	0.397	0.802	0.852	0.538
1552	ENSG00000033030.13	0.163	0.156	0.179	0.414	0.279	0.453
1719	ENSG00000132128.16	0.064	0.133	0.086	0.189	0.23	0.23
435	ENSG00000197958.12	0.962	0.963	0.924	0.69	0.774	0.853
426	ENSG00000204642.13	0.604	0.489	0.321	0	0.098	0.179
390	ENSG00000117308.14	0.1	0.102	0.058	0.148	0.262	0.176
4648	ENSG00000105618.13	0.251	0.139	0.162	0.034	0.078	0.047
2382	ENSG00000049246.14	1	1	1	0.802	0.755	1
1332	ENSG00000213983.11	0.711	0.625	0.635	0.338	0.359	0.357
897	ENSG00000167995.15	1	1	1	1	1	0.639
4639	ENSG00000166411.13	0.137	0.082	0.201	0.484	0.34	0.312
4251	ENSG00000214021.15	0.909	0.836	0.886	0.46	0.553	0.791
484	ENSG00000178149.16	0.339	0.43	0.354	0.59	0.557	0.826
4652	ENSG00000165671.19	0.162	0.166	0.157	0.355	0.361	0.294
3199	ENSG00000014914.20	0.453	0.351	0.604	1	0.67	1
551	ENSG00000124357.12	0.114	0.08	0.082	0.11	0.295	0.256
659	ENSG00000143303.11	0.313	0.438	0.318	0.64	0.557	0.78
1183	ENSG00000112739.16	0.336	0.217	0.209	0.11	0.217	0.082
40	ENSG00000173171.14	0.061	0.096	0.094	0.125	0.338	0.142
4720	ENSG00000239665.8	0.231	0.195	0.342	0.796	0.863	0.533
2733	ENSG00000004777.18	0.953	0.62	1	0.592	0.487	0.521
326	ENSG00000172009.14	0.207	0.123	0.256	1	1	0.507
3169	ENSG00000129933.20	0.379	0.344	0.198	0.062	0.144	0.075
5622	ENSG00000173821.19	0.312	0.26	0.206	0.115	0.149	0.129
5440	ENSG00000170291.14	1	0.787	0.845	1	1	0.97
738	ENSG00000156345.17	0.567	0.729	0.749	0.894	0.928	1
5856	ENSG00000114021.11	0.211	0.243	0.198	0.349	0.335	0.291
5115	ENSG00000213213.13	0.521	1	1	0.352	0.576	0.266
186	ENSG00000148444.15	0.131	0.143	0.156	0.217	0.361	0.2
1176	ENSG00000148688.13	0.118	0.227	0.172	0.284	0.496	0.318
5336	ENSG00000183506.17	0.778	0.692	1	0	0.2	1
3540	ENSG00000168701.18	0.925	1	0.748	1	1	1
