ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
10751	ENSG00000128739.21	0.213	0.405	0.398	0.706	1	0.852
9200	ENSG00000162613.16	0.333	0	0.6	1	0.75	1
29642	ENSG00000170264.12	0	0.028	0.146	0.435	0.361	0.414
34298	ENSG00000196505.10	0.391	0.411	0.41	0.041	0.167	0.096
3248	ENSG00000106333.12	0.754	0.388	0.8	1	0.931	1
40399	ENSG00000069493.14	0.691	1	0.817	0.495	0.385	0.245
70123	ENSG00000155906.16	0.722	0.858	0.927	1	1	0.985
54417	ENSG00000115325.13	0.938	1	1	0.753	0.815	0.878
31287	ENSG00000115163.14	0.836	0.799	0.809	0.93	0.969	0.906
26848	ENSG00000251669.5	1	0.491	0.685	0.195	0.195	0.108
5979	ENSG00000145388.14	1	0.976	0.985	0.862	0.94	0.844
61756	ENSG00000205531.12	0.287	0.327	0.235	0.099	0.101	0.219
65751	ENSG00000132881.11	0.78	1	0.83	0	0.69	0.25
25207	ENSG00000079819.18	1	1	1	0.758	0.659	0.696
55638	ENSG00000088179.8	1	1	1	0.717	0.779	0.838
4302	ENSG00000258733.5	0	0	0.064	0.657	0.242	1
48135	ENSG00000204842.14	0.156	0.311	0.275	0.602	0.534	0.796
64989	ENSG00000115839.17	0.317	0.383	0.368	0.65	1	1
36306	ENSG00000162341.16	0.425	0.747	0.757	1	1	0.948
19500	ENSG00000151687.14	1	1	1	0.623	0.537	0.699
59283	ENSG00000100105.17	0.366	0.321	0.256	0.124	0.149	0.143
40293	ENSG00000071054.16	0.928	0.873	0.892	0.673	0.304	0.563
53582	ENSG00000173041.11	0.755	0.799	1	0.516	0.468	0.461
61879	ENSG00000101901.11	0.657	0.957	0.934	1	1	0.983
37990	ENSG00000148516.21	1	0.875	1	0.774	0.657	0.673
74672	ENSG00000162664.16	0.834	0.952	0.883	0.989	1	1
18023	ENSG00000182923.16	0.3	0.292	0.425	0.195	0.106	0.197
36631	ENSG00000125944.18	0.463	0.528	0.551	0.376	0.368	0.417
6612	ENSG00000130731.15	0.896	0.879	0.814	0.981	1	1
6510	ENSG00000198561.13	0.646	0.66	0.84	0.967	1	1
10719	ENSG00000259429.5	0.872	0.97	0.942	0.459	0.433	0.83
11293	ENSG00000090316.15	0.754	0.854	0.861	1	0.951	1
15579	ENSG00000100731.15	0.584	0.601	0.663	0.242	0.249	0.271
76909	ENSG00000156931.15	0.152	0.107	0.162	0.019	0.022	0.015
8760	ENSG00000162976.12	0.383	0.632	0.691	0.849	0.831	0.946
20535	ENSG00000049192.14	0.762	0.587	0.766	1	1	1
15862	ENSG00000099785.10	0.52	1	0.475	1	1	1
32013	ENSG00000198901.13	0.707	0.702	0.655	0.556	0.533	0.46
15865	ENSG00000099785.10	0.61	1	0.597	1	1	1
78736	ENSG00000137814.10	1	1	0.914	0.853	0.717	0.709
35476	ENSG00000260086.2	0.328	0.328	0.524	0	0.155	0
32945	ENSG00000153707.16	0	0	0	0.371	0.4	0.077
52035	ENSG00000159082.17	0	0	0	0.094	0.452	0.321
37458	ENSG00000087053.18	0.098	0.157	0.117	0.278	0.349	0.262
39797	ENSG00000105865.10	1	0.829	0.965	0.472	0.7	0.749
11297	ENSG00000090316.15	0.769	0.822	0.858	1	0.948	1
6337	ENSG00000272779.1	1	1	1	0.767	0.702	0.86
16388	ENSG00000060971.17	0.681	0.69	0.692	0.908	0.821	0.906
24111	ENSG00000163291.14	0.805	0.865	0.834	0.962	0.92	1
77153	ENSG00000167766.18	0.654	0.56	0.694	0.846	0.852	0.884
54533	ENSG00000121716.20	0.408	0.605	0.622	0.862	0.794	0.83
71767	ENSG00000164828.17	0.732	0.986	0.926	0.978	0.978	1
26264	ENSG00000109685.17	0.13	0.101	0.122	0.311	0.407	0.173
44254	ENSG00000106692.13	0.945	1	1	0.729	0.725	1
53097	ENSG00000174405.13	1	1	1	0.654	0.936	0.7
38605	ENSG00000033627.16	0.901	0.847	0.891	1	0.956	1
43413	ENSG00000171503.11	0.825	0.902	0.876	1	1	1
51978	ENSG00000006837.11	0.809	1	0.841	0.346	0.514	0.421
19786	ENSG00000241990.5	1	1	1	0.175	1	0.46
30818	ENSG00000166169.16	1	1	0.956	0.678	0.784	0.87
72408	ENSG00000185480.11	0.955	0.932	0.849	0.334	0.443	0.736
30077	ENSG00000157800.17	1	1	1	0.867	0.917	0.836
6799	ENSG00000257621.7	1	1	1	0.778	0.675	0.835
2202	ENSG00000136861.17	0.231	0.475	0.731	0.86	0.966	0.823
26008	ENSG00000139116.18	0.052	0	0.083	0.074	0.39	0.338
70623	ENSG00000178761.14	0.14	0.076	0.049	0.217	0.296	0.377
21220	ENSG00000106603.18	0	0	0	0.253	0.328	0
4450	ENSG00000111596.11	0.748	0.758	0.758	0.258	0.189	0.148
75393	ENSG00000130517.13	1	0.836	0.927	0.6	0.457	0.815
30040	ENSG00000151239.13	1	0.906	0.763	0.492	0.34	0
32031	ENSG00000168038.10	0.62	0.884	0.592	1	1	1
51090	ENSG00000101294.16	0.318	0.227	0.447	0.057	0.119	0.059
21646	ENSG00000141198.14	0.792	0.86	0.876	1	1	1
60111	ENSG00000184428.12	0	0	0	0.189	0.317	0.189
15500	ENSG00000108433.16	1	1	1	0.365	1	0.141
37696	ENSG00000006125.17	0.36	0.332	0.374	0.563	0.5	0.492
24035	ENSG00000235109.7	1	1	1	0.51	0.61	0.739
26522	ENSG00000163328.13	0	0	0	0.407	0.199	0.131
71212	ENSG00000150433.9	1	1	1	0.711	0.198	0.198
17177	ENSG00000159592.10	0.215	0.256	0.237	0.397	0.418	0.477
18070	ENSG00000213096.10	1	1	1	0.67	0.688	0.835
11889	ENSG00000008294.20	0.576	0.935	0.928	1	1	1
33928	ENSG00000160703.15	0.44	0.638	0.779	1	0.825	1
19491	ENSG00000092871.16	0.967	0.964	0.931	0.818	0.843	0.725
5797	ENSG00000100410.7	1	1	1	0.764	0.906	0.949
47451	ENSG00000122545.18	0.12	0.108	0.291	0.446	0.535	0.705
20124	ENSG00000115459.17	0.776	1	0.676	0.272	0.275	0.41
23205	ENSG00000150527.16	0.49	0.543	0.421	1	0.652	0.954
