baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000153933.9	627.043184797165	4.6827272476917	0.333240946368555	14.0520764291455	7.48080158269438e-45	3.07365734846778e-42
ENSG00000120738.7	2315.523086152	5.92020202222531	0.423254547709229	13.9873323376372	1.86268710958708e-44	7.38473742148226e-42
ENSG00000099399.5	1756.73062441089	10.7835358580746	0.776278255011779	13.8913279979883	7.14972937957826e-44	2.78568249171913e-41
ENSG00000006453.13	419.632300147913	6.43758452778512	0.469788242524436	13.7031622868899	9.71971519085272e-43	3.6007561292277e-40
ENSG00000172830.12	509.296749422903	6.41250582132601	0.474732862570647	13.5076088615452	1.4102797517015e-41	4.75664206402246e-39
ENSG00000197172.10	712.853669678271	9.06529430829518	0.671898641680419	13.4920563101942	1.74174010792282e-41	5.78821219982939e-39
ENSG00000081853.14	334.21952082215	6.24259436280762	0.466589656890981	13.3791957678698	8.00083785791338e-41	2.51115185990454e-38
ENSG00000213401.9	724.269844558348	9.09057095411461	0.682127981117051	13.3267820786767	1.6172432279905e-40	4.93871114407154e-38
ENSG00000145287.10	535.841069844577	8.49249229008989	0.640030617504012	13.2688844218248	3.50763629931582e-40	1.05687420122585e-37
ENSG00000173530.5	901.089039093617	10.1153004305233	0.763001857622472	13.2572422065168	4.0968644590014e-40	1.21817030321729e-37
ENSG00000112297.14	546.739019844728	4.51061320177072	0.34237379773709	13.1745280497033	1.22994152807002e-39	3.56336136555467e-37
ENSG00000157214.13	1061.99898022554	10.3330462633031	0.786297956956226	13.1413876532282	1.90697256556847e-39	5.45490709325522e-37
ENSG00000181433.9	897.015471307886	10.0836986051733	0.767605260006307	13.1365678826776	2.03237791997148e-39	5.74095952943945e-37
ENSG00000104723.20	912.376093424754	10.447170790317	0.810409481454148	12.8912247812936	5.0436381555301e-38	1.29518335271215e-35
ENSG00000272734.1	791.013143968161	8.31705963321999	0.649109706345807	12.8130261370474	1.38621130171994e-37	3.4806225551408e-35
ENSG00000096696.13	814.055845095451	8.94248840904239	0.699613735291127	12.7820366552998	2.06587945866052e-37	5.01088486410162e-35
ENSG00000221867.8	826.271742846975	9.45747253014138	0.739943499739991	12.7813441613645	2.08435780699864e-37	5.01088486410162e-35
ENSG00000164484.11	518.301050252016	8.3285219807667	0.662688321942042	12.5677814215279	3.17509202731518e-36	7.03438525816357e-34
ENSG00000166582.9	396.710448892597	6.15201076306099	0.491461221162957	12.5177948903137	5.96699379560212e-36	1.28421072183825e-33
ENSG00000100065.14	522.763754668534	3.78542241618214	0.30541467055678	12.3943699537458	2.80340408908943e-35	5.920684636004e-33
ENSG00000105048.16	706.004357324502	7.50237625082516	0.606346626299001	12.3730815435025	3.65523944009993e-35	7.64825008031279e-33
ENSG00000065833.8	834.276122456599	10.3214940339265	0.836022053198919	12.345959050282	5.12202175692238e-35	1.06190318956818e-32
ENSG00000170421.12	653.018579398979	9.97351255282158	0.815560496664148	12.2290284946559	2.17524615488769e-34	4.3119484743993e-32
ENSG00000160886.13	708.94863716552	9.3005072341012	0.769671319506557	12.0837388614972	1.28730202416297e-33	2.40416951587064e-31
ENSG00000115380.19	1783.35015153826	11.4048490889573	0.945248324050403	12.0654528537934	1.60775541011379e-33	2.95382575266271e-31
ENSG00000116396.14	194.317489262457	5.79266408888925	0.480306533986743	12.0603482963427	1.71057976334912e-33	3.11739366872286e-31
ENSG00000189410.11	464.51973021201	6.14058874986665	0.517626348014842	11.862975625983	1.84306553151321e-32	3.0624702118482e-30
ENSG00000164659.14	779.615683344629	6.1161585127311	0.516235428595009	11.8476148167066	2.21403145543211e-32	3.65202064451494e-30
ENSG00000129354.11	390.181226449434	8.90896993742714	0.752118589995412	11.845166514873	2.27965110421367e-32	3.73301127920438e-30
ENSG00000133101.9	301.440618839202	8.04909532999033	0.679722782888616	11.8417324424291	2.37495771109421e-32	3.86110031333143e-30
ENSG00000196159.11	503.446509139211	6.49964704825133	0.550434999025498	11.8082008952164	3.54056223460907e-32	5.67444151614864e-30
ENSG00000100181.22	406.795373020955	8.94971404633283	0.758049356893062	11.8062418560898	3.62400571832021e-32	5.72694274283917e-30
ENSG00000166446.14	228.443202932172	4.12371218002319	0.349430773787073	11.8012278521754	3.84657380135989e-32	6.03644963632853e-30
ENSG00000102781.13	11734.3713061547	3.9460185795622	0.338525751061895	11.6564798015638	2.12653644239161e-31	3.24699125170038e-29
ENSG00000178922.16	890.502016873785	4.75647241883969	0.40991644556286	11.6035169369907	3.95484583046908e-31	5.99809436757988e-29
ENSG00000028116.16	777.618627078982	9.17146078226117	0.791764636799946	11.5835696064038	4.99230495135395e-31	7.52107381937977e-29
ENSG00000154237.12	360.748913222635	8.80609875901744	0.761924834565118	11.5577001293621	6.74922417548373e-31	1.00341426261567e-28
ENSG00000246203.2	262.063694871039	5.56781941084979	0.484670147179549	11.4878530135407	1.51838732871907e-30	2.24264816041787e-28
ENSG00000146648.17	55174.7927558166	8.26302885969038	0.720330517151964	11.4711631160105	1.84167085175126e-30	2.68503728437904e-28
ENSG00000156675.15	360.502066676639	7.97225984929314	0.702510854833226	11.3482372470753	7.56728945726261e-30	1.06214662829329e-27
ENSG00000184307.14	546.355994531614	5.90479307000687	0.523320500872587	11.2833207568998	1.58642179128581e-29	2.19938402696176e-27
ENSG00000230257.2	647.215044547426	10.3609632947823	0.918665884759396	11.2782715312171	1.68014675160913e-29	2.31511928615019e-27
ENSG00000179046.8	1684.43033880186	11.7844726844856	1.04493784815359	11.2776780985672	1.69151686956851e-29	2.31666049809147e-27
ENSG00000263711.5	423.219227283617	9.32989316677136	0.833279486708273	11.1965952787671	4.23706174808528e-29	5.69935246328757e-27
ENSG00000213186.7	379.477014946612	9.19411665923296	0.829398508044894	11.08528237036	1.47883084012399e-28	1.95430522369134e-26
ENSG00000105889.14	316.085586774579	7.93398359406268	0.717287299308661	11.0610958840476	1.93716065908053e-28	2.51585957321274e-26
ENSG00000196954.13	2528.71943340339	5.54351679646215	0.505648018964694	10.9631929495391	5.74364576280965e-28	7.25111211999846e-26
ENSG00000027001.9	2774.08785042708	3.65012562677128	0.33360491340748	10.9414624307792	7.30125492787511e-28	9.09296190940216e-26
ENSG00000185686.17	1238.83430593	11.8812240453596	1.09078007576807	10.8924102202669	1.25280096182255e-27	1.53863022474272e-25
ENSG00000147459.17	656.963269928797	10.3742455670431	0.958123690796761	10.8276683550284	2.54554672454509e-27	3.07616389739411e-25
ENSG00000105186.15	5858.73618770416	3.64198684083603	0.336569816496405	10.8208955834129	2.74085876668074e-27	3.29457055369422e-25
ENSG00000020633.18	321.163550638981	8.13560968562948	0.752033974438942	10.818141150736	2.82447732594921e-27	3.3771184450688e-25
ENSG00000188522.14	387.143599961964	8.38077714885382	0.779229980525976	10.7552036732427	5.601014845024e-27	6.52431615813672e-25
ENSG00000128165.8	280.75618110395	8.41956308821431	0.784120361775497	10.7375901693839	6.77907928242719e-27	7.81600171552498e-25
ENSG00000111057.10	1397.9173271566	11.0228108821964	1.02753396469617	10.7274418762942	7.56617631460197e-27	8.6792107795622e-25
ENSG00000187984.12	457.282124852565	9.87731050387334	0.928318143147939	10.6400058824438	1.94117087500545e-26	2.19332897166866e-24
ENSG00000169594.13	517.244826823536	10.0262861911969	0.944094326715747	10.620004704483	2.4054899921519e-26	2.7044409374452e-24
ENSG00000105409.16	204.940252925808	6.35118686311587	0.600016179896787	10.5850259974796	3.49683667916928e-26	3.91195620177561e-24
ENSG00000138134.11	589.010026926715	6.94992277200138	0.657917481165342	10.563517418159	4.3986404732461e-26	4.89657524208942e-24
ENSG00000228223.2	145.559771276677	6.78188146431976	0.64256801728975	10.5543402127679	4.85035149341278e-26	5.32078849748263e-24
ENSG00000143674.10	846.804266954509	4.4640009917109	0.423983295033456	10.5287190415336	6.36953274069956e-26	6.92012984972734e-24
ENSG00000174939.10	627.628547854257	6.16865253571732	0.589773593771148	10.4593569479324	1.32753551623894e-25	1.41507771679092e-23
ENSG00000104450.12	679.236810120912	4.72370196363529	0.451764231500364	10.4561220970224	1.37363068291194e-25	1.45733831795512e-23
ENSG00000139629.15	464.112513732528	9.90913786857092	0.948528545914014	10.4468525604808	1.51468755080623e-25	1.59948174173454e-23
ENSG00000081803.15	453.896222945882	8.39128053999196	0.806200061425198	10.4084345083749	2.26922495399816e-25	2.37407155140974e-23
ENSG00000154319.14	256.170757645644	7.16099424722343	0.688355960013137	10.4030395074763	2.40148334252551e-25	2.50086269928071e-23
ENSG00000067715.13	361.736170258082	9.53466418820308	0.916882712470268	10.3990009392965	2.50546226232443e-25	2.59717597266089e-23
ENSG00000282826.1	641.909793839364	5.93385965129991	0.572353596169883	10.3674715962449	3.48627054319457e-25	3.58840415668056e-23
ENSG00000132938.19	776.750252687497	11.2212903646224	1.08488358804955	10.3433128570011	4.48750615262168e-25	4.58862733198845e-23
ENSG00000270069.1	241.210750276596	4.09639695406245	0.396227847490945	10.3384882713375	4.71923115419101e-25	4.80383719019858e-23
ENSG00000128965.11	150.285178903154	5.35260088700282	0.521273383899157	10.2683180310589	9.78965229885578e-25	9.7456635528433e-23
ENSG00000117226.11	354.544746704339	6.01123911950367	0.588713076046674	10.2108129818864	1.77372383187743e-24	1.73517797198122e-22
ENSG00000255836.1	332.13553036065	4.73586867792582	0.465950098605976	10.1638967178986	2.87356788229099e-24	2.78699085854128e-22
ENSG00000121310.16	505.955592489569	6.83269042993764	0.672734380574811	10.1565946787193	3.09705087444522e-24	2.99090408806467e-22
