baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000112902.11	2119.28765791003	-8.78124864946918	0.614072584426582	-14.3000174118978	2.18754818915218e-46	9.88684279569221e-44
ENSG00000186469.8	4060.43033317372	-10.6672514751619	0.751573076987984	-14.193232570161	1.00898335917753e-45	4.47078548052821e-43
ENSG00000185565.11	4180.38478035727	-11.4477156424535	0.807651648993696	-14.1740757376239	1.32577163842117e-45	5.76149759327722e-43
ENSG00000132561.13	1567.52582764724	-5.7749642177275	0.408149061618403	-14.1491547103611	1.89015585715143e-45	8.05919661507697e-43
ENSG00000175445.14	5866.40712616437	-11.1981359579058	0.792752363992681	-14.1256418353729	2.6398367962514e-45	1.10472281336461e-42
ENSG00000173546.7	2627.43443149822	-10.2451324930792	0.731145833686787	-14.0124336637718	1.30843187389515e-44	5.27998990826474e-42
ENSG00000242808.7	1053.35349780588	-9.30256203360904	0.671481731746985	-13.8537827520738	1.20685395512479e-43	4.62245519964578e-41
ENSG00000115318.11	1805.05049225696	-9.15432042928314	0.661152608228878	-13.8460021413303	1.3449187865987e-43	5.06541245659289e-41
ENSG00000168916.15	1447.66628914027	-9.08384818144684	0.6633953373545	-13.6929635617754	1.11852494897848e-42	4.07684303177672e-40
ENSG00000177932.6	635.539014825901	-7.08204259935996	0.519915518131607	-13.6215257140435	2.98270648913873e-42	1.06989208319932e-39
ENSG00000152661.7	1533.79839587092	-11.1696774203732	0.820585023984688	-13.6118465410619	3.40529893886684e-42	1.20238977219551e-39
ENSG00000150893.10	4370.55549537195	-5.38457341495377	0.39653957227265	-13.5789055909191	5.3418645207735e-42	1.85716083754523e-39
ENSG00000196376.10	964.7336388873	-10.179400121945	0.753433680723914	-13.5106783548148	1.35269253066235e-41	4.63153724362239e-39
ENSG00000184221.12	1405.40384938429	-10.7215746624452	0.795063939670635	-13.4851728615521	1.91216807351437e-41	6.26248900366343e-39
ENSG00000136859.9	1465.41157405369	-10.5189141152884	0.781632547729363	-13.4576203944497	2.77716671943369e-41	8.9654876465375e-39
ENSG00000120278.15	530.239298040084	-5.35543450137843	0.399930520235545	-13.390912247018	6.83362125438825e-41	2.1750165226291e-38
ENSG00000087245.12	1935.72580126491	-10.9230920830048	0.817472546264109	-13.3620292607059	1.00778798174603e-40	3.11972504267078e-38
ENSG00000078018.19	11203.0320346104	-8.73604971332486	0.659890011676232	-13.2386451662358	5.2487117552975e-40	1.54039465254822e-37
ENSG00000048740.18	2411.25832164144	-9.4357538046473	0.722812205084885	-13.0542258947318	6.01179939861339e-39	1.67721781246747e-36
ENSG00000174721.9	2891.70379856651	-4.92551104899206	0.377566607809863	-13.0454095969008	6.74932878979818e-39	1.86001624380316e-36
ENSG00000103449.11	2307.62898219696	-10.9506401799579	0.840272452037032	-13.0322494250654	8.02076710233457e-39	2.18377463829586e-36
ENSG00000182985.17	2110.10182204708	-10.4601677922989	0.802744296562797	-13.0305102597271	8.20570564331863e-39	2.2075301919966e-36
ENSG00000145423.4	2061.19440763165	-10.7902612946845	0.829779954141753	-13.0037623117142	1.16469304686867e-38	3.09643923213391e-36
ENSG00000151150.21	2174.87646928035	-5.45292835040807	0.420303212506799	-12.9737965072533	1.72281103351523e-38	4.5269864808578e-36
ENSG00000196562.14	1515.15079370011	-9.69369805690754	0.750418851586624	-12.9177166010848	3.57596758966904e-38	9.28847305647598e-36
ENSG00000213190.3	2869.2579138547	-3.67674769465263	0.286268631136754	-12.843697474126	9.33092112668125e-38	2.36921523169374e-35
ENSG00000132205.10	5401.94331410829	-10.1232739547636	0.790431653279891	-12.8072729789567	1.49289465156337e-37	3.70730036659661e-35
ENSG00000103037.11	334.467908638313	-7.50594298313024	0.58625991767429	-12.8030976651219	1.5753930950108e-37	3.86964490881022e-35
ENSG00000227036.6	1656.20661728383	-4.76048316475041	0.374568254577592	-12.7092542055356	5.25330541964752e-37	1.24962311445468e-34
ENSG00000170852.10	2429.08902792565	-10.5039039333713	0.82662168711432	-12.7070268021152	5.40506677481121e-37	1.272330197679e-34
ENSG00000240184.6	6155.36263187471	-8.54131961885185	0.672956546073699	-12.6922305291261	6.52992235937135e-37	1.52126995337189e-34
ENSG00000198185.11	679.966991017801	-9.41034684182932	0.743151916343815	-12.6627498831284	9.51084770469192e-37	2.19312384112886e-34
ENSG00000112559.13	840.435152869003	-9.71481576661272	0.767315160929105	-12.66078954422	9.75136543953787e-37	2.22587228487552e-34
ENSG00000164106.7	3712.54829692665	-11.4472945473411	0.904654646901921	-12.653773002265	1.06628453318906e-36	2.40958978810063e-34
ENSG00000240225.10	399.69325042436	-8.41770609256417	0.665586150565549	-12.6470571621895	1.16144255458988e-36	2.5986414701606e-34
ENSG00000196199.13	1035.73285321441	-10.2798228487519	0.820291567066046	-12.5319133604165	4.99430452204526e-36	1.09574071445805e-33
ENSG00000130818.11	419.281970069336	-6.64218538900733	0.530333064227849	-12.5245545432438	5.47981462385175e-36	1.19070048913271e-33
ENSG00000111077.17	647.422476948141	-5.32246202295422	0.425995467143374	-12.4941752517824	8.03249627905144e-36	1.71243727277363e-33
ENSG00000137872.16	1525.45516763451	-11.1583663952216	0.904743122096576	-12.3331873132831	6.00245692267858e-35	1.23312292307901e-32
ENSG00000162738.5	1126.23952291011	-10.4026033059726	0.844487612313393	-12.3182426293687	7.22516308812746e-35	1.47093905824779e-32
ENSG00000228623.5	347.743490832182	-8.02357338988167	0.652111282865263	-12.3039941198801	8.62036537867023e-35	1.73931265024277e-32
ENSG00000234444.9	865.317860668484	-10.3440705488498	0.841281186484147	-12.2956161566852	9.56248098824969e-35	1.91232695019882e-32
ENSG00000140450.8	810.321464792873	-10.2479572591664	0.838264694044242	-12.2252044395723	2.28007354992678e-34	4.44181914493495e-32
ENSG00000145908.12	1389.4021126228	-11.4435030289891	0.936016765011912	-12.2257457951018	2.26493410394009e-34	4.44181914493495e-32
ENSG00000232677.6	375.296887757069	-6.60309118695579	0.542199134388835	-12.1783506615125	4.05397169281539e-34	7.83005575335402e-32
ENSG00000165424.6	2634.18747266702	-3.64951050960506	0.299975321684979	-12.1660358228989	4.71427039184343e-34	9.02822731482016e-32
ENSG00000167614.13	751.259193631515	-9.55253448301168	0.787458690413285	-12.1308388608908	7.25029022355116e-34	1.37682402077151e-31
ENSG00000134874.17	1197.71502141567	-10.8093713133484	0.894533243277111	-12.0838117471726	1.28616109750547e-33	2.40416951587064e-31
ENSG00000072609.17	440.420487620532	-4.41047922478112	0.365276906225551	-12.0743445578181	1.44309510132005e-33	2.6730379589861e-31
ENSG00000170271.10	472.074328693431	-8.46671281779023	0.702963689362398	-12.0443103191713	2.07807152544393e-33	3.75682082655855e-31
ENSG00000088882.7	1728.99921416818	-11.0207032109742	0.916722970470863	-12.0218469111924	2.7280474513203e-33	4.8927314527727e-31
ENSG00000007237.18	1760.51490065807	-11.0453642809267	0.919391504303424	-12.0137767525873	3.00787637204112e-33	5.35212521695946e-31
ENSG00000176533.12	952.849232571363	-3.60869399604076	0.301324743590955	-11.9760957996185	4.74131308451234e-33	8.37064008467265e-31
ENSG00000245680.9	243.549334328961	-5.96944906093805	0.498665535684913	-11.9708474593879	5.05100579588553e-33	8.84826581204815e-31
ENSG00000184635.14	232.237233054957	-7.1138774576948	0.594694186901917	-11.9622448215861	5.60265412794175e-33	9.73913676794059e-31
ENSG00000163873.9	3290.28991737277	-11.6874918139456	0.977278177221514	-11.9592272562292	5.81000609021316e-33	1.00224822615753e-30
ENSG00000167191.11	3325.81496446419	-6.34204932504311	0.532308843464847	-11.9142287469097	9.97852410414725e-33	1.70829308867818e-30
