gene1	gene2	coefficient	p.value
QKI	HNRNPA2B1	1	0
QKI	THOC6	-1	0
QKI	SRPK2	1	0
QKI	DHX38	-1	0
QKI	POLR2D	1	0
QKI	SCAF4	-1	0
QKI	ZNF326	1	0
QKI	SLU7	1	0
QKI	SNRNP35	1	0
QKI	RBM11	1	0
QKI	SMN2	1	0
CLK4	CLK4	1	0
CLK4	PTBP3	-1	0
CLK4	NOVA1	-1	0
CLK4	DUSP11	-1	0
CLK4	SAP18	1	0
CLK4	SRSF12	-0.866025403784439	0.333333333333333
SF3B6	SF3B6	1	0
SF3B6	TIA1	1	0
SF3B6	SFPQ	1	0
SF3B6	PTBP2	1	0
SF3B6	TRMT1L	1	0
SF3B6	HNRNPA2B1	1	0
SF3B6	THOC6	-1	0
SF3B6	SRPK2	1	0
SF3B6	DHX38	-1	0
SF3B6	POLR2D	1	0
SF3B6	SCAF4	-1	0
SF3B6	ZNF326	1	0
SF3B6	SLU7	1	0
SF3B6	SNRNP35	1	0
SF3B6	RBM11	1	0
SF3B6	SMN2	1	0
TIA1	TIA1	1	0
TIA1	SFPQ	1	0
TIA1	PTBP2	1	0
TIA1	TRMT1L	1	0
TIA1	HNRNPA2B1	1	0
TIA1	THOC6	-1	0
TIA1	SRPK2	1	0
TIA1	DHX38	-1	0
TIA1	POLR2D	1	0
TIA1	SCAF4	-1	0
TIA1	ZNF326	1	0
TIA1	SLU7	1	0
TIA1	SNRNP35	1	0
TIA1	RBM11	1	0
TIA1	SMN2	1	0
SFPQ	SFPQ	1	0
SFPQ	PTBP2	1	0
SFPQ	TRMT1L	1	0
SFPQ	HNRNPA2B1	1	0
SFPQ	THOC6	-1	0
SFPQ	SRPK2	1	0
SFPQ	DHX38	-1	0
SFPQ	POLR2D	1	0
SFPQ	SCAF4	-1	0
SFPQ	ZNF326	1	0
SFPQ	SLU7	1	0
SFPQ	SNRNP35	1	0
SFPQ	RBM11	1	0
SFPQ	SMN2	1	0
PTBP2	PTBP2	1	0
PTBP2	TRMT1L	1	0
PTBP2	HNRNPA2B1	1	0
PTBP2	THOC6	-1	0
PTBP2	SRPK2	1	0
PTBP2	DHX38	-1	0
PTBP2	POLR2D	1	0
PTBP2	SCAF4	-1	0
PTBP2	ZNF326	1	0
PTBP2	SLU7	1	0
PTBP2	SNRNP35	1	0
PTBP2	RBM11	1	0
PTBP2	SMN2	1	0
PTBP3	PTBP3	1	0
PTBP3	NOVA1	1	0
PTBP3	DUSP11	1	0
PTBP3	SAP18	-1	0
PTBP3	SRSF12	0.866025403784439	0.333333333333333
TRMT1L	TRMT1L	1	0
TRMT1L	HNRNPA2B1	1	0
TRMT1L	THOC6	-1	0
TRMT1L	SRPK2	1	0
TRMT1L	DHX38	-1	0
TRMT1L	POLR2D	1	0
TRMT1L	SCAF4	-1	0
TRMT1L	ZNF326	1	0
TRMT1L	SLU7	1	0
TRMT1L	SNRNP35	1	0
TRMT1L	RBM11	1	0
TRMT1L	SMN2	1	0
HNRNPA2B1	HNRNPA2B1	1	0
HNRNPA2B1	THOC6	-1	0
HNRNPA2B1	SRPK2	1	0
HNRNPA2B1	DHX38	-1	0
HNRNPA2B1	POLR2D	1	0
HNRNPA2B1	SCAF4	-1	0
HNRNPA2B1	ZNF326	1	0
HNRNPA2B1	SLU7	1	0
HNRNPA2B1	SNRNP35	1	0
HNRNPA2B1	RBM11	1	0
HNRNPA2B1	SMN2	1	0
SRSF6	SRSF6	1	0
SRSF6	RBMS3	1	0
SRSF6	SRSF12	-0.866025403784439	0.333333333333333
SRSF6	RBPMS	1	0
SRSF6	SON	1	0
SRSF6	U2AF1	-1	0
SRSF6	RP9	1	0
SRSF6	UPF3A	-1	0
SRSF6	ERN1	-1	0
THOC6	THOC6	1	0
THOC6	SRPK2	-1	0
THOC6	DHX38	1	0
THOC6	POLR2D	-1	0
THOC6	SCAF4	1	0
THOC6	ZNF326	-1	0
THOC6	SLU7	-1	0
THOC6	SNRNP35	-1	0
THOC6	RBM11	-1	0
THOC6	SMN2	-1	0
SRPK2	SRPK2	1	0
SRPK2	DHX38	-1	0
SRPK2	POLR2D	1	0
SRPK2	SCAF4	-1	0
SRPK2	ZNF326	1	0
SRPK2	SLU7	1	0
SRPK2	SNRNP35	1	0
SRPK2	RBM11	1	0
SRPK2	SMN2	1	0
NOVA1	NOVA1	1	0
NOVA1	DUSP11	1	0
NOVA1	SAP18	-1	0
NOVA1	SRSF12	0.866025403784439	0.333333333333333
DHX38	DHX38	1	0
DHX38	POLR2D	-1	0
DHX38	SCAF4	1	0
DHX38	ZNF326	-1	0
DHX38	SLU7	-1	0
DHX38	SNRNP35	-1	0
DHX38	RBM11	-1	0
DHX38	SMN2	-1	0
DUSP11	DUSP11	1	0
DUSP11	SAP18	-1	0
DUSP11	SRSF12	0.866025403784439	0.333333333333333
POLR2D	POLR2D	1	0
POLR2D	SCAF4	-1	0
POLR2D	ZNF326	1	0
POLR2D	SLU7	1	0
POLR2D	SNRNP35	1	0
POLR2D	RBM11	1	0
POLR2D	SMN2	1	0
RBMS3	RBMS3	1	0
RBMS3	SRSF12	-0.866025403784439	0.333333333333333
RBMS3	RBPMS	1	0
RBMS3	SON	1	0
RBMS3	U2AF1	-1	0
RBMS3	RP9	1	0
RBMS3	UPF3A	-1	0
RBMS3	ERN1	-1	0
SAP18	SAP18	1	0
SAP18	SRSF12	-0.866025403784439	0.333333333333333
SRSF12	SRSF12	1	0
SRSF12	RBPMS	-0.866025403784439	0.333333333333333
SRSF12	SON	-0.866025403784439	0.333333333333333
SRSF12	U2AF1	0.866025403784439	0.333333333333333
SRSF12	RP9	-0.866025403784439	0.333333333333333
SRSF12	UPF3A	0.866025403784439	0.333333333333333
SRSF12	ERN1	0.866025403784439	0.333333333333333
SCAF4	SCAF4	1	0
SCAF4	ZNF326	-1	0
SCAF4	SLU7	-1	0
SCAF4	SNRNP35	-1	0
SCAF4	RBM11	-1	0
